SOURCE,YEAR,COUNTR,REGION,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,X,Y,DEN1,DEN2,DEN3,DEN4,N_TYPES
DE_832.pdf,2002,Papua New Guinea,Asia,0,1011441,-999,145.240782,-6.479375,1,0,0,0,1
JN568266,2003,Papua New Guinea,Asia,0,1011441,-999,145.240782,-6.479375,1,1,0,0,2
JN568241,2009,Papua New Guinea,Asia,0,1011441,-999,145.240782,-6.479375,1,1,0,0,2
DE_4968.pdf,2001,Solomon Islands,Asia,0,1011444,-999,160.379982,-8.171604,1,0,0,0,1
JN415522,2002,Solomon Islands,Asia,0,1011444,-999,160.379982,-9.527583,1,0,0,0,1
EU448462,2007,Solomon Islands,Asia,0,1011444,-999,160.379982,-8.171604,0,0,0,1,2
JX644012,2012,Vietnam,Asia,0,1011447,-999,107.083,16.667,1,0,0,1,2
HM582107,1972,American Samoa,Asia,0,5,-999,-170.572324,-14.265635,0,1,0,0,1
DE_16130.pd,2008,American Samoa,Asia,0,5,-999,-170.572324,-14.265635,0,0,0,1,2
DE_16356,2013,Angola,Africa,1,8,408,13.303757,-8.853864,1,0,0,0,1
FJ898462,2001,Anguilla,Americas,0,5,-999,-63.064394,18.230617,0,0,1,0,1
MOH213,2006,Anguilla,Americas,0,9,-999,-63.064394,18.230617,0,0,0,1,2
DE_2176.pdf,2000,Argentina,Americas,1,12,429,-58.68,-34.7,1,0,0,0,1
DE_14983.pd,2007,Argentina,Americas,1,12,429,-58.386,-34.696,0,0,1,0,2
DE_16241.pd,2010,Argentina,Americas,1,12,429,-58.537316,-34.576126,1,0,0,0,2
MOH190,2011,Argentina,Americas,1,12,429,-60.562505,-36.680257,0,0,0,1,3
DE_16241.pd,2010,Argentina,Americas,1,12,430,-58.482288,-34.601387,1,0,0,0,1
DE_16217.pd,2009,Argentina,Americas,1,12,431,-65.779324,-28.468088,1,0,0,0,1
MOH187,2003,Argentina,Americas,1,12,432,-60.766636,-26.387381,0,0,1,0,1
DE_16217.pd,2009,Argentina,Americas,1,12,432,-60.766636,-26.387381,1,0,0,0,2
DE_16238.pd,2010,Argentina,Americas,1,12,432,-60.766636,-26.387381,1,0,0,0,2
DE_16238.pd,2010,Argentina,Americas,1,12,436,-59.207821,-32.045363,1,0,0,0,1
DE_14735.pd,1999,Argentina,Americas,1,12,437,-57.71,-25.28,1,0,0,0,1
DE_172.pdf,2000,Argentina,Americas,1,12,437,-57.65,-24.894951,1,0,0,0,1
DE_14735.pd,2001,Argentina,Americas,1,12,437,-57.71,-25.28,1,0,0,0,1
DE_14735.pd,2004,Argentina,Americas,1,12,437,-59.934254,-24.894951,0,0,1,0,2
DE_14735.pd,2006,Argentina,Americas,1,12,437,-57.71,-25.28,0,0,1,0,2
DE_14735.pd,2007,Argentina,Americas,1,12,437,-57.71,-25.28,0,0,1,0,2
DE_172.pdf,1997,Argentina,Americas,1,12,438,-64.820218,-24.296733,0,1,0,0,1
DE_172.pdf,1998,Argentina,Americas,1,12,438,-64.820218,-24.296733,0,1,0,0,1
DE_172.pdf,1999,Argentina,Americas,1,12,438,-64.820218,-24.296733,0,1,0,0,1
DE_172.pdf,2000,Argentina,Americas,1,12,438,-64.86,-23.318542,1,0,0,0,2
DE_14735.pd,2003,Argentina,Americas,1,12,438,-64.820218,-24.296733,0,0,1,0,3
DE_14735.pd,2004,Argentina,Americas,1,12,438,-64.820218,-23.318542,0,0,1,0,3
DE_14735.pd,2006,Argentina,Americas,1,12,438,-64.820218,-24.296733,0,1,1,0,3
DE_16217.pd,2009,Argentina,Americas,1,12,438,-64.820218,-23.318542,1,1,0,0,3
DE_16238.pd,2010,Argentina,Americas,1,12,438,-64.820218,-24.296733,1,0,0,0,3
DE_172.pdf,2000,Argentina,Americas,1,12,442,-54.578047,-25.599116,1,0,0,0,1
DE_3316.pdf,2002,Brazil,Americas,1,12,442,-54.457515,-25.690342,0,0,1,0,2
DE_14735.pd,2006,Argentina,Americas,1,12,442,-54.646343,-26.875464,0,1,1,0,3
DE_16235.pd,2009,Paraguay,Americas,1,12,442,-54.405213,-25.878852,1,0,0,0,3
DE_16238.pd,2010,Argentina,Americas,1,12,442,-54.646343,-26.875464,1,0,0,0,3
DE_2174.pdf,1997,Argentina,Americas,1,12,445,-63.71,-22.06,0,1,0,0,1
DE_2174.pdf,1998,Argentina,Americas,1,12,445,-63.687072,-22.039503,0,1,0,0,1
DE_16217.pd,2009,Argentina,Americas,1,12,445,-63.687072,-22.039503,1,0,0,0,2
MOH191,2007,Argentina,Americas,1,12,449,-60.95071,-30.70351,0,0,1,0,1
MOH192,2009,Argentina,Americas,1,12,449,-60.95071,-30.70351,0,0,1,0,1
DE_16238.pd,2010,Argentina,Americas,1,12,449,-60.95071,-30.70351,1,0,0,1,3
MOH194,1999,Argentina,Americas,1,12,450,-64.133331,-27.583332,0,0,1,0,1
MOH218,1991,Aruba,Americas,0,14,-999,-69.969509,12.507838,0,0,1,0,1
HM348812,1999,Aruba,Americas,0,14,-999,-69.969509,12.507838,0,0,1,0,1
MOH217,2009,Aruba,Americas,0,14,-999,-69.969509,12.507838,0,0,0,1,2
DE_2994.pdf,1981,Australia,Asia,1,17,473,145.785971,-10.580803,1,0,0,0,1
DE_776.pdf,1982,Australia,Asia,1,17,473,145.785971,-10.580803,1,0,0,0,1
DE_2862.pdf,1990,Australia,Asia,1,17,473,146.793,-19.28,1,1,0,0,2
DE_3141.pdf,1992,Australia,Asia,1,17,473,146.793,-19.28,1,1,0,0,2
DE_3141.pdf,1993,Australia,Asia,1,17,473,146.793,-19.28,0,1,0,0,2
DE_2924.pdf,1995,Australia,Asia,1,17,473,142.157135,-10.65251,0,1,0,0,2
DE_2994.pdf,1996,Australia,Asia,1,17,473,144.051089,-9.59398,0,1,0,0,2
DE_3024.pdf,1997,Australia,Asia,1,17,473,145.4627,-9.59398,0,1,1,0,3
DE_3079.pdf,1998,Australia,Asia,1,17,473,146.793,-10.65251,0,1,1,0,3
DE_834.pdf,1999,Australia,Asia,1,17,473,145.4627,-10.65251,0,0,1,0,3
DE_884.pdf,2001,Australia,Asia,1,17,473,146.793,-19.28,0,1,0,0,3
DE_3278.pdf,2002,Australia,Asia,1,17,473,145.69243,-16.816373,0,1,0,1,4
DE_3292.pdf,2003,Australia,Asia,1,17,473,145.76,-10.601234,1,1,0,0,4
DE_4533.pdf,2004,Australia,Asia,1,17,473,146.793,-10.580803,1,1,0,1,4
DE_4533.pdf,2005,Australia,Asia,1,17,473,144.543369,-10.580803,1,0,0,1,4
DE_14937.pd,2006,Australia,Asia,1,17,473,142.157135,-10.65251,1,0,1,0,4
DE_16214.pd,2008,Australia,Asia,1,17,473,145.764527,-16.899993,0,0,1,0,4
DE_15376.pd,2009,Australia,Asia,1,17,473,146.833,-10.65251,1,1,1,1,4
DE_16262.pd,2010,Australia,Asia,1,17,473,146.807027,-10.65251,0,1,0,0,4
DE_16294,2011,Australia,Asia,1,17,473,146.030598,-17.523863,1,1,0,1,4
MOH220,1995,Bahamas,Americas,0,20,-999,-76.565751,24.320733,0,0,1,0,1
MOH221,2003,Bahamas,Americas,0,20,-999,-76.565751,24.320733,0,1,0,0,2
DE_4808.pdf,1964,Bangladesh,Asia,1,23,577,90.27868,23.839371,0,0,1,0,1
DE_4808.pdf,2000,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,1,1,1,3
DE_4808.pdf,2001,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,0,1,0,3
DE_1090.pdf,2002,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,0,1,0,3
EU448424,2004,Bangladesh,Asia,0,23,-999,90.27868,23.839371,0,1,0,0,3
EU448423,2005,Bangladesh,Asia,0,23,-999,90.27868,23.839371,0,1,0,0,3
JN036395,2006,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,1,1,0,3
JN036386,2007,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,1,1,0,3
JN036384,2008,Bangladesh,Asia,1,23,577,90.449892,24.11121,0,1,1,0,3
JN036381,2009,Bangladesh,Asia,1,23,577,90.449892,24.11121,1,1,1,0,4
DE_1110.pdf,1995,Barbados,Americas,1,24,588,-59.61,13.1,1,1,0,1,3
DE_1110.pdf,1996,Barbados,Americas,1,24,588,-59.61,13.1,1,1,0,1,3
DE_1110.pdf,1997,Barbados,Americas,1,24,588,-59.61,13.1,1,1,0,1,3
DE_14484.pd,1995,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,0,0,1
DE_4804.pdf,1996,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,1,0,2
DE_4804.pdf,1997,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,1,0,2
DE_4804.pdf,1998,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,1,0,2
MOH226,2000,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,1,0,2
JN379488,2001,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,1,0,2
MOH227,2002,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,1,0,2
JN379497,2003,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,1,0,2
MOH228,2004,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,1,0,2
MOH229,2005,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,1,0,2
MOH223,2007,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,0,0,1,3
MOH233,2010,Barbados,Americas,0,24,-999,-59.554949,13.167311,0,1,0,0,3
